City,Cloudiness (%),Country,Date,Humidity (%),Temperature (F),Latitude (Deg),Longitude (Deg),Wind Speed (mph)
vouliagmeni,0,GR,09/01/2019,38,79.0,37.81,23.78,7.45
mildura,0,AU,09/01/2019,58,61.0,-34.18,142.16,11.41
mataura,96,NZ,09/01/2019,72,55.99,-46.19,168.86,5.99
upernavik,0,GL,09/01/2019,79,41.81,72.79,-56.15,2.75
faanui,68,PF,09/01/2019,77,75.47,-16.48,-151.75,13.87
bambous virieux,0,MU,09/01/2019,85,69.01,-20.34,57.76,1.99
georgetown,20,GY,09/01/2019,78,82.4,6.8,-58.16,9.17
kahului,40,US,09/01/2019,49,91.4,20.89,-156.47,17.22
bilibino,39,RU,09/01/2019,57,37.13,68.06,166.44,3.13
portland,1,US,09/01/2019,77,62.01,43.66,-70.25,4.7
peleduy,66,RU,09/01/2019,78,54.05,59.63,112.75,0.25
kodiak,1,US,09/01/2019,78,77.0,39.95,-94.76,3.36
atambua,87,ID,09/01/2019,70,73.67,-9.11,124.89,7.94
pevek,100,RU,09/01/2019,90,36.95,69.7,170.27,9.75
coihaique,0,CL,09/01/2019,69,35.6,-45.58,-72.07,1.19
vardo,90,US,09/01/2019,78,73.99,39.62,-77.74,3.36
kavieng,100,PG,09/01/2019,84,77.63,-2.57,150.8,5.97
hobart,20,AU,09/01/2019,58,57.99,-42.88,147.33,8.05
airai,84,TL,09/01/2019,38,77.63,-8.93,125.41,1.83
bereda,90,ES,09/01/2019,72,64.0,43.27,-7.54,11.41
tongren,82,CN,09/01/2019,84,64.49,27.72,109.18,3.6
san joaquin,100,PH,09/01/2019,95,74.93,10.59,122.14,7.14
jamestown,0,AU,09/01/2019,46,63.23,-33.21,138.6,17.31
ust-barguzin,95,RU,09/01/2019,92,53.51,53.41,109.03,3.04
albany,75,US,09/01/2019,60,70.0,42.65,-73.75,4.7
hermanus,82,ZA,09/01/2019,92,57.0,-34.42,19.24,4.0
avarua,16,CK,09/01/2019,56,73.4,-21.21,-159.78,5.82
longyearbyen,51,NO,09/01/2019,90,40.37,78.22,15.63,2.26
mahebourg,0,MU,09/01/2019,85,69.01,-20.41,57.7,1.99
maragogi,35,BR,09/01/2019,96,70.07,-9.01,-35.22,3.98
hithadhoo,100,MV,09/01/2019,75,83.21,-0.6,73.08,11.16
barrow,1,AR,09/01/2019,67,37.31,-38.31,-60.23,3.76
puerto ayora,40,EC,09/01/2019,78,73.4,-0.74,-90.35,17.22
smithers,40,CA,09/01/2019,40,71.6,54.78,-127.17,6.93
