City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
ahuimanu,90,US,1567376790,79,91.4,21.44,-157.84,8.05
nanortalik,100,GL,1567376731,88,43.82,60.14,-45.24,5.93
kruisfontein,8,ZA,1567376786,90,52.64,-34.0,24.73,10.22
dunedin,33,NZ,1567376476,58,54.0,-45.87,170.5,1.99
blackpool,75,IE,1567377145,93,53.6,51.91,-8.47,8.05
pitelino,99,RU,1567377145,95,57.67,54.58,41.81,4.85
nikolskoye,0,RU,1567376758,72,63.0,59.7,30.79,6.71
inuvik,20,CA,1567377146,37,53.6,68.36,-133.71,9.17
mataura,96,NZ,1567376702,81,53.01,-46.19,168.86,1.99
cabo san lucas,40,MX,1567376586,70,91.99,22.89,-109.91,10.29
qaanaaq,0,GL,1567376729,50,44.54,77.48,-69.36,5.77
luderitz,6,NA,1567376724,26,69.8,-26.65,15.16,10.29
san patricio,0,PY,1567376818,62,60.74,-26.98,-56.83,6.6
busselton,100,AU,1567376709,55,57.99,-33.64,115.35,33.2
vaini,100,IN,1567376699,93,73.88,15.34,74.49,2.39
mount gambier,90,AU,1567376740,100,41.0,-37.83,140.78,12.75
dharchula,92,IN,1567377148,77,54.79,29.85,80.53,1.9
souillac,0,FR,1567376717,82,62.01,45.6,-0.6,14.43
rikitea,100,PF,1567376701,88,72.8,-23.12,-134.97,8.03
greymouth,24,NZ,1567377033,76,50.47,-42.45,171.21,2.3
port elizabeth,1,US,1567376752,41,80.6,39.31,-74.98,12.75
ushuaia,75,AR,1567376711,86,33.8,-54.81,-68.31,23.04
srednekolymsk,45,RU,1567376879,53,42.56,67.46,153.71,6.89
galesong,20,ID,1567377150,78,73.4,-5.32,119.37,4.7
cayenne,0,GF,1567377150,78,78.8,4.94,-52.33,7.0
baloda bazar,75,IN,1567377151,88,77.0,21.65,82.17,5.82
lebu,100,ET,1567376806,86,56.24,8.96,38.73,0.96
xuddur,0,SO,1567376742,70,73.88,4.12,43.89,21.47
barrow,11,AR,1567376696,56,45.62,-38.31,-60.23,5.79
khasan,0,RU,1567377152,62,70.99,42.43,130.64,3.87
rawson,74,AR,1567377152,42,43.81,-43.3,-65.11,22.19
fallon,75,US,1567377152,64,78.01,46.84,-105.12,11.41
new norfolk,20,AU,1567376558,70,48.99,-42.78,147.06,8.05
albany,75,US,1567376624,49,73.99,42.65,-73.75,6.93
saskylakh,100,RU,1567376749,89,40.22,71.97,114.09,11.95
ahipara,99,NZ,1567376695,100,55.99,-35.17,173.16,13.4
hilo,1,US,1567376701,55,87.8,19.71,-155.08,6.93
auki,92,NG,1567377154,83,75.31,12.18,6.51,5.35
haliyal,99,IN,1567377154,98,68.29,15.33,74.76,5.19
