City,Cloudiness (%),Country,Date,Humidity (%),Temperature (F),Latitude (Deg),Longitude (Deg),Wind Speed (mph)
ushuaia,75,AR,09/01/2019,86,33.8,-54.81,-68.31,21.92
kaoma,99,ZM,09/01/2019,15,68.29,-14.8,24.8,6.46
malabo,12,CD,09/01/2019,91,61.99,1.56,30.43,1.32
auki,92,NG,09/01/2019,83,75.31,12.18,6.51,5.35
cape town,20,ZA,09/01/2019,93,55.99,-33.93,18.42,3.36
vaini,100,IN,09/01/2019,94,73.87,15.34,74.49,2.26
bredasdorp,0,ZA,09/01/2019,62,57.2,-34.53,20.04,6.93
mataura,98,NZ,09/01/2019,81,54.0,-46.19,168.86,1.01
qaanaaq,13,GL,09/01/2019,51,41.11,77.48,-69.36,6.71
avarua,51,CK,09/01/2019,53,73.4,-21.21,-159.78,5.82
saint-philippe,20,CA,09/01/2019,60,72.0,45.36,-73.48,5.82
upernavik,0,GL,09/01/2019,81,41.83,72.79,-56.15,1.77
new norfolk,20,AU,09/01/2019,71,59.0,-42.78,147.06,9.17
nikolskoye,0,RU,09/01/2019,82,59.0,59.7,30.79,4.47
rikitea,100,PF,09/01/2019,86,73.69,-23.12,-134.97,9.84
hermanus,83,ZA,09/01/2019,95,55.99,-34.42,19.24,3.0
aklavik,20,CA,09/01/2019,37,53.6,68.22,-135.01,8.05
torbay,20,CA,09/01/2019,87,57.99,47.66,-52.73,3.36
saint-joseph,0,FR,09/01/2019,78,77.0,43.56,6.97,3.36
lorengau,100,PG,09/01/2019,84,79.45,-2.02,147.27,11.54
provideniya,90,RU,09/01/2019,76,53.6,64.42,-173.23,13.42
general roca,0,AR,09/01/2019,32,53.6,-39.03,-67.58,4.7
bangkalan,93,ID,09/01/2019,73,75.31,-7.05,112.74,5.93
ponta do sol,38,BR,09/01/2019,40,74.23,-20.63,-46.0,4.43
bluff,0,AU,09/01/2019,24,71.89,-23.58,149.07,4.03
lebu,100,ET,09/01/2019,87,56.41,8.96,38.73,1.25
puerto ayora,40,EC,09/01/2019,73,75.2,-0.74,-90.35,19.46
